fa_0000|۱۴ م ژوئن است.
fa_0001|آنگونه که مادری پسرش را در آغوش میگیرد!
fa_0002|کجا می توانم بلیط قطار بخرم؟
fa_0003|من مدیر بازاریابی هستم.
fa_0004|آیا اخیرا کتاب خوبی خوانده ای؟
fa_0005|کجا می توانم چرخ دستی بگیرم؟
fa_0006|چه آهنگ های ایرلندی می شناسی؟
fa_0007|من مشتاق هستم به امکان کارکردن با یکدیگر.
fa_0008|من مشتاق هستم درباره این با شما بحث کنم.
fa_0009|این مال شما است؟
fa_0010|آیا امکان دارد این اسکناس صد دلاری را خرد کنید؟
fa_0011|آیا امکان دارد این لباس ها را به خشکشویی بفرستید؟
fa_0012|من مطمئنم که او برنده خواهد شد.
fa_0013|من معتقدم چندین دلیل وجود دارد.
fa_0014|این میز شماست.
fa_0015|این مسئولیت ما است که به عنوان فرد آن اطلاعات را بگیریم
fa_0016|آیا این آزمایش معتبر است؟
fa_0017|چه تعداد نفر در این اتاق زندگی می کنند؟
fa_0018|این منظره قشنگی هست.
fa_0019|چهجوری این کارو کردی؟
fa_0020|منم می فهمم این
fa_0021|یک جعبه پودر صورت به من بدهید، لطفا.
fa_0022|یک جعبه کبریت نیاز دارم.
fa_0023|آن نزدیک چیست؟
fa_0024|این نسخه را به داروخانه ببرید.
fa_0025|آیا اینجا ماهیگیری مجاز است؟
fa_0026|آیا اینجا مرکز فیتنس دارید؟
fa_0027|من نیاز دارم به دادگاه بروم.
fa_0028|من نیاز به مشاوره پزشکی دارم.
fa_0029|چه چیزی را در منو توصیه می کنید؟
fa_0030|یک جفت گوشی برای فیلم می خواهم.
fa_0031|یک جفت هدفون دارید؟
fa_0032|چه خوبه دیدنت چه خوبه موندنت
fa_0033|کدام طرف امتیاز گرفت؟
fa_0034|من نمی توانم فوتبال را تحمل کنم.
fa_0035|کدام قطار را باید سوار شوم؟
fa_0036|آیا این یک پرواز مستقیم است؟
fa_0037|آیا این مجسمه ها خیلی شکننده هستند؟
fa_0038|آیا این مرد خویشاوند نزدیک شما است؟
fa_0039|من هچ بچه ای ندارم.
fa_0040|یک دقیقه دیگر پیش شما خواهم بود.
fa_0041|من هیچ تجربه کاری در این زمینه ندارم.
fa_0042|آیا این نزدیکی استخر روباز وجود دارد؟
fa_0043|چه ساعتی سوار می شویم؟
fa_0044|یکدیگر را بشدت محبت کنید زیرا محبت انبوه گناهان را میپوشاند
fa_0045|من هشت شروع می کنم و پنج تمام می کنم.
fa_0046|آیا او را می شناسی؟
fa_0047|آیا او مدرسه را دوست دارد؟
fa_0048|آیا او تایلندی صحبت می کند؟
fa_0049|آنهایی که در ایران هستند سوگوار مرگ او هستند
fa_0050|آیا باید برای کالاهایی که اینجا خریدم گمرگ پرداخت کنم؟
fa_0051|آیا باید زخم فَلاخُن و تیربختِ ستم پیشه را تاب آورد
fa_0052|آیا با دست قابل شستن است؟
fa_0053|من هنوز منتظر صبحانه ای هستم که سفارش دادم.
fa_0054|من هویج خواهم خورد.
fa_0055|انواع بافت پوست مو پارچه سنگ پوست پیر پوست حیوانات مودار
fa_0056|من واقعاً از پیتزا متنفرم.
fa_0057|من واقعا متاسفم، فکر نمی کنم بتوانم.
fa_0058|چه کسی اینجا مسئول است؟
fa_0059|چه کسی آن را به تو یاد داد؟
fa_0060|یک ساعت قبل.
fa_0061|منو حالا نوازش کن، که این فرصت نره از دست
fa_0062|منو دریاب که دلتنگم مدارا کن که ویرونم
fa_0063|منو رنگ نکن من صافکاری لازمم
fa_0064|من وضعیت پناهندگی دارم.
fa_0065|کسی اینجا سوئدی صحبت می کند؟
fa_0066|منو، لطفاً.
fa_0067|اهلِ فلسفه بافی و ملق زدن تو کائنات و
fa_0068|من و مادرم ناسازگاریها و کشمکشهای زیادی با هم داشتیم
fa_0069|چه کسی در خدمت توپ است؟
fa_0070|آیا بیشتر از یک بار در هفته دوچرخه سواری می کنی؟
fa_0071|آیا بیلیارد وجود دارد؟
fa_0072|مواظب سگ باشید
fa_0073|چهل و چهار، چهل و پنج، چهل و شش.
fa_0074|چهل و یک، چهل و دو، چهل و سه.
fa_0075|کیسه خواب قدیمی خود را بردارم و به دشت پشتی خانهام ببرم
fa_0076|آیا به من افزایش حقوق خواهید داد؟
fa_0077|آیا بیهوشی موضعی برای من لازم است؟
fa_0078|مورچهها كه ضعيف هستند ولی برای زمستان خوراک ذخيره میكنند
fa_0079|کشف این دامنه کوچک از طیف کامل نور
fa_0080|یک طبیب فرانسوی به نام ژان باپتیست دنیس
fa_0081|آیا تا به حال ایستگاه قطار خود را از دست داده ای؟
fa_0082|او اینجا در تعطیلات است.
fa_0083|آیا تا به حال جفت عینک خود را گم کرده اید؟
fa_0084|آواهای مشترک در تلگرام عضو شوید
fa_0085|آیا تعمیرات شامل ضمانت می شود؟
fa_0086|آواهای مشترک را در تلگرام جستجو کنید
fa_0087|قوی، اما نه تلخ.
fa_0088|آیا تهوع سفر می گیرید؟
fa_0089|موقع رفتن به پیادهروی، از زانوهایم مایع انفصالی ترشح نمیکرد
fa_0090|موگادیشو
fa_0091|کیکی خمیری
fa_0092|چه موقع امتحانات شروع می شوند؟
fa_0093|مونته ویدئو
fa_0094|چه موقع این جنس حراج می خورد؟
fa_0095|او برگ ها را انبوه پارو کرد.
fa_0096|نیازمند جاهطلبی بیشتر از سوی همگانیم
fa_0097|نیازمند منابع سرمایهگذاری کمتری بود
fa_0098|چه موقع سال تحصیلی به پایان می رسد؟
fa_0099|او پانزده ساله است.
fa_0100|نامیبیا
fa_0101|آیا دوست پسر داری؟
fa_0102|نام تان، لطفاً.
fa_0103|او ترفیع گرفته است.
fa_0104|یک ماه هست متوجه زگیلهایی در بیرون دستگاه تناسلی شده ام
fa_0105|او جمعه جشن پایان کار دارد.
fa_0106|آیا دوست دارید گاهی با من شام بخورید؟
fa_0107|او چند سال دارد؟
fa_0108|آیا راهنمای صوتی نپالی وجود دارد؟
fa_0109|او خوش شانس است.
fa_0110|آیا ژاپنی صحبت می کنی؟
fa_0111|چه نوع شرابی دارید؟
fa_0112|چه نوع کاری است؟
fa_0113|کی می توانم دوباره ببینمت؟
fa_0114|نیجر
fa_0115|او در آزمون فلسفه مردود شد.
fa_0116|آیا شما اهل سوئیس هستید؟
fa_0117|چون اگر ثروتمند شوم ممكن است تو را انكار كنم و بگويم خداوند كيست
fa_0118|نروژ
fa_0119|یک میلیون.
fa_0120|یک میلیون رویا برای جهانی که خواهیم ساخت
fa_0121|چون هیچ زنی نبود که دستش را بالا ببرد و بگوید
fa_0122|آیا عروسکی که راه برود و حرف بزند دارید؟
fa_0123|آیا عضو هیچ گروه کتابی هستی؟
fa_0124|حاال اگه خیلیا خوششون نمیاد
fa_0125|آیا عینک آفتابی می فروشید؟
fa_0126|او ریحان دوست دارد.
fa_0127|کنار کی آخه آروم کنم این قلب مریضو
fa_0128|نزدیکترین کتاب فروشی کجاست؟
fa_0129|اوژن
fa_0130|نزدیکترین گاراژ کجاست؟
fa_0131|آیا فروشگاه بزرگ در این نزدیکی وجود دارد؟
fa_0132|آویژه
fa_0133|یک نفر به من نزدیک میشود و میگوید
fa_0134|آیا فکر می کنی من باید با او تماس بگیرم؟
fa_0135|نسبت مرگومیر موردی حدود ۱۰ درصد بود
fa_0136|نشانی های ذخیره شده را حذف کن
fa_0137|حداقل میتونم بگم تلاشمو کردم
fa_0138|حداکثر سرعت این قایق چقدر است؟
fa_0139|نظر بسيارى از هنرمندان نقاش را به خود جلب نمود
fa_0140|حدود ۸۰ درصد جمعیت را
fa_0141|نظرت درباره دی جی چیست؟
fa_0142|او شش ماه در نیوزلند زندگی کرده است.
fa_0143|او عموزاده من است.
fa_0144|حس سرگیجه، مثل اینکه قرار بود به فضا بیفتم
fa_0145|آیا گذرنامه من لازم است؟
fa_0146|که در ظرفهای سفالی بهجا مانده است نشان میدهد
fa_0147|حیف که الان دیگه ویروس کرونا خز شده
fa_0148|او فلفل سفید را ترجیح می دهد.
fa_0149|او یک حل کننده مشکل خلاق است.
fa_0150|او یک خواننده مشتاق کتاب های علمی تخیلی است.
fa_0151|او کر است.
fa_0152|یک و پنج دقیقه است.
fa_0153|آیا می توانید این دکمه ها را بدوزید؟
fa_0154|آیا میتوانید این را کوتاه کنید؟
fa_0155|او کلوپ های شبانه را دوست ندارد.
fa_0156|حمایل کرد
fa_0157|کجا می توانم لپ تاپم را به برق بزنم؟
fa_0158|کویچ
fa_0159|او کمی قهوه بدون کافئین می خواهد.
fa_0160|نیم پز، لطفاً.
fa_0161|اوگاندا
fa_0162|او گیلاس خواهد خورد.
fa_0163|حمله کرد
fa_0164|حنجره زرافه دارای تار صوتی نیست و او گنگ است
fa_0165|حیوان خانگی داری؟
fa_0166|نمی توانم بگویم مرا زیاد جذب می کند.
fa_0167|کولر چطور کار می کند؟
fa_0168|نمی توانم پایم را تکان بدهم.
fa_0169|آیا می توانم آن را معاف از مالیات بخرم؟
fa_0170|اول پیاله و بد مستی
fa_0171|آیا می توانیم به اطراف نگاهی بیاندازیم؟
fa_0172|پدر سگ مصبش با یه ماگزیما اومد
fa_0173|نمی توانم گذرنامه ام را هیچ جا پیدا کنم.
fa_0174|نمی توانیم هیچ کاری برای آن انجام دهیم.
fa_0175|اولین شخصی بود که این روش را روی انسان امتحان کرد
fa_0176|اولین قدم این است که با جزئیات اقرار کنید که چکار کرده اید
fa_0177|گاز خراب است.
fa_0178|آیا می توانیم موضوع را بین خودمان حل کنیم؟
fa_0179|اولین نمایش فیلم امروز در سینما است.
fa_0180|گاهی به دلیل پیچیدگی کلام هست و گاهی هم به خاطر استفاده از
fa_0181|گاه و بیگاه درد می کند.
fa_0182|نمی دانم چطور از آن استفاده کنم.
fa_0183|آیا می خواهی به او کمک کنی؟
fa_0184|نمیدونی چه شور و حالی دارن بچهها!
fa_0185|گذرنامهتان، لطفاً.
fa_0186|آیا می خواهی در عروسی آنها شرکت کنی؟
fa_0187|نمیدونم بعد از این که لیسانسمو گرفتم فلافلی بزنم یا آب هویجی
fa_0188|او موی مشکی و چشم های سبز دارد.
fa_0189|نمی دونی یه ریز داشت از پسره تعریف می
fa_0190|نمره های او بالاتر از متوسط هستند.
fa_0191|خب، چه میشد اگر اطلاعات همه درباره پریودها مثل پزشک متخصص زنان بود؟
fa_0192|آیا می دانی چه کسی چرخ را اختراع کرد؟
fa_0193|اونا که دلیل حال بدم بودن زودتر از همه بالا سرم بودن
fa_0194|گر عاشق و میخواره به دوزخ باشند فردا بینی بهشت همچون کف دست
fa_0195|یخچال بازی در نیار
fa_0196|آیا می دانید هزینه پست تا هنگ کنگ چقدر است؟
fa_0197|گرفتم، سپاس
fa_0198|خدا خر را شناخت شاخش نداد
fa_0199|خدای من، تا این حد پیش رفت
fa_0200|گرم ترین ماه در کشور شما چیست؟
fa_0201|اون گوشه از قلبم که مال هیچکس نیست
fa_0202|آیا می فهمید؟
fa_0203|نه بابا ولی اخلاقش خیلی بهتر شده
fa_0204|آیا ممکن است برای من به تاکسی زنگ بزنید، لطفا؟
fa_0205|آیا ممکن است به من نشان دهید چطور کار می کند؟
fa_0206|خرج کرد
fa_0207|آیا ممکن است یک پتو برای من بیاورید؟
fa_0208|خروج اضطراری
fa_0209|گروه خونی من او منفی است.
fa_0210|نه خیلی خوب.
fa_0211|گزارشگر ویژه سازمان ملل در امور حقوق بشر ایران
fa_0212|نه خوب - نه بد.
fa_0213|او وافل دوست دارد.
fa_0214|خستهمون کردی لعنتی.
fa_0215|آیا نرخ گروهی وجود دارد؟
fa_0216|خطر ابتلا به این عارضه های دردناک کاهش می یابد
fa_0217|آيا کمد قفل دار دارید؟
fa_0218|گمشو بابا.
fa_0219|آیا هتل تلویزیون کابلی دارد؟
fa_0220|اين سحابیها به نام سحابی زحل و سحابی مارپیچ خوانده میشوند
fa_0221|نه همچون مجسمه غولپیکر نامآور یونان
fa_0222|آیا هیچ بیماری های مزمن دارید؟
fa_0223|نوبت چه کسی است که صحبت کند؟
fa_0224|آیا هیچ تخفیفی برای کودکان وجود دارد؟
fa_0225|آیا هیچ تخفیف کرایه برای سفرهای متعدد وجود دارد؟
fa_0226|گوشت را به اندازه کف دست، ورقه ورقه ببرید
fa_0227|با آن ضربه توپ را تا کجا فرستادید؟
fa_0228|خیلی غیرمنطقی احمقانه و پوچ هستند
fa_0229|با اون مهریه و خانواده عباس که طالق و مث گناهه کبیره می دونن
fa_0230|آیا هیچ نوه ای داری؟
fa_0231|نوشیدنی غیر الکلی می خواهی؟
fa_0232|بابا دست از سرم بردارید
fa_0233|بابام برام یک پیراهن آورد میگه بپوش ببین اندازت هست
fa_0234|خیلی هم خوب.
fa_0235|خَندِسَن
fa_0236|لازم نیست همه جواب ها را داشته باشیم تا درخواست تغییر کنیم
fa_0237|آیا هنوز پدر بزرگ و مادر بزرگ تو زنده هستند؟
fa_0238|خواستار اصلاحات حیاتی در مورد حقوق بشر بود
fa_0239|لاس زد
fa_0240|خواندن این کتاب برای او یک سوال اساسی ایجاد کرد
fa_0241|لامپش سوخته
fa_0242|خواهر کوچک تو چه شکلی است؟
fa_0243|آیا وسیله نقلیه بیمه بود؟
fa_0244|بیا بهش دروغ بگیم
fa_0245|آب یا شراب، مجبور به انتخابم نکن
fa_0246|با تو موافقم.
fa_0247|ابتکاری جهانی است برای قطع انتشارات گاز گلخانهای
fa_0248|ابتلا به بیماریهای ریوی مزمن هم مهم است
fa_0249|لحظهی تحویل سال هجری شمسی به ساعت رسمی کشور
fa_0250|هیچ اتاق ویژه ای برای افراد معلول داریدژ؟
fa_0251|آبدوغ خیار
fa_0252|باید اتفاقی که واقعا رخ داده را بیان کنید
fa_0253|هیچ باری را ثبت می کنید؟
fa_0254|هیچ بالشتی وجود دارد؟
fa_0255|بیایید اسلوونیایی صحبت کنیم.
fa_0256|هیچ برس لباس دارید؟
fa_0257|آبروي هيئت رفت
fa_0258|خودتان کیف هایتان را بستید؟
fa_0259|لطفا اینجا صف بکشید
fa_0260|آبگینه
fa_0261|آبگوشت
fa_0262|هیچ پولی ندارم.
fa_0263|هیچ توری به زبان استونی وجود دارد؟
fa_0264|باید باشگاهمو دوباره شروع کنم.
fa_0265|هیچ توری وجود دارد؟
fa_0266|هیچ جایی دارید بارمان را بگذاریم؟
fa_0267|باید برای این موارد گمرک پرداخت کنید.
fa_0268|خود را مشغول بازی با گلدان نشان میدهد
fa_0269|خوراک مغز
fa_0270|باید بگذارید قلبتان بشکند
fa_0271|هیچ چیزی برای گلو درد دارید؟
fa_0272|آبی و زرد، سبز را میسازد.
fa_0273|بیایید جای خوبی برای رفتن پیدا کنیم.
fa_0274|لطفا به آواهای مشترک در تلگرام بپیوندید
fa_0275|باید دید چند مرده حلاجه.
fa_0276|خوشحال می شوم چنین کنم.
fa_0277|لطفا به من ماساژ صورت بدهید.
fa_0278|هیچ دائره المعارف دیکشنری دارید؟
fa_0279|باید قطار را تعویض کنید.
fa_0280|باید یک بار دستپخت من را بچشی
fa_0281|هیچ رنگ دیگری از آن دارید؟
fa_0282|یه چیزایی توی چشاته که دلمو میلرزونه
fa_0283|خویش فرما هستم.
fa_0284|خون خود را کشید و آن را به او منتقل کرد
fa_0285|هیچ شیر سویا دارید؟
fa_0286|اتاق خالی موجود نیست
fa_0287|لطفا جیب های خود را خالی کنید.
fa_0288|لطفا در گوشه توقف کنید.
fa_0289|اتاق کثیف است.
fa_0290|باران متوقف شد.
fa_0291|لطفاً روی این نقشه نشان دهید کجا هستم.
fa_0292|هیچ کسی سراغ مرا گرفت؟
fa_0293|داروی شفابخش روح آدمی فلسفه است
fa_0294|هیچ کمکی نیاز دارید؟
fa_0295|بار من شکسته است و بعضی چیزها گم شده است.
fa_0296|هیچ گروه مورد علاقه ای داری؟
fa_0297|هیچ مایعی دارید؟
fa_0298|دامنه پژوهش در ادبیات تطبیقی متفاوت است
fa_0299|هیچ محافظت آنتیبادی وجود ندارد
fa_0300|هیچ مسکنی دارید؟
fa_0301|لطفا یک چاقو به من بدهید.
fa_0302|هیچ مغازه محلی وجود دارد؟
fa_0303|هیچ نعمتی بالاتر از دوستی نیست نه ثروت و نه لذت
fa_0304|هیچ هزینه اضافه ای؟
fa_0305|اتوبوس بعدی به ریودوژانیرو چه ساعتی است؟
fa_0306|در آبرنگ با رقیق کردن رنگماده مىتوان سايهروشنهاى زيبايى ايجاد کرد
fa_0307|در اتاق نشیمن راحت باشید.
fa_0308|باغ گیاه شناسی کجا است؟
fa_0309|اجازه دارم به شما یک نوشیدنی تعارف کنم؟
fa_0310|باغ می خواهید؟
fa_0311|هرچند وقت یک بار به کمپ می روی؟
fa_0312|با قاعدگی، مغز تخمدان را برای تخمکریزی تحریک میکند
fa_0313|اجازه نداشت محبت یا آسیب پذیری، کنجکاوی، یا تردید نشان دهد
fa_0314|لطفاً ممکن است قیمت این را برای من ارزیابی کنید؟
fa_0315|اجاق گاز چطور کار می کند؟
fa_0316|اجرای احجام ساده مثل کره
fa_0317|با کامپیوتر کار می کنم.
fa_0318|در اوایل جولای.
fa_0319|با کچاپ یا مایونز؟
fa_0320|احترامت واجبه خاندایی اما حرف از مردونگی نزن.
fa_0321|رفته بودی تو اتاق من؟
fa_0322|با گذر زمان، آنها تخته هایی را به شالودهی کندهی درخت افزودند
fa_0323|لوآندا
fa_0324|هرگز دوباره مشروب نخواهم خورد!
fa_0325|در برخی نمونهها در چین، عفونت همزمان با آنفلوانزا رخ داده است
fa_0326|در بیشتر شکلها همگی در مفهوم عام آن
fa_0327|هر لقمه غذایی که میخوریم از طبیعت میآید
fa_0328|احمقی كه سير و توانگر گردد
fa_0329|با موبایلش حرف می زند
fa_0330|ما الان فکس شما را دریافت کردیم.
fa_0331|هزینه کرایه یک لباس غواصی روزانه چقدر است؟
fa_0332|اخبار را برای من بفرستید، وقتی هیچ چیز بیشتری دانستید.
fa_0333|هزینه یک سبد گل چند است؟
fa_0334|هزینه مبر این نامه ها چقدر می شود؟
fa_0335|ما اهل سوئد هستیم.
fa_0336|با هر رنگی رفاقت کن اما رفاقت را رنگ نکن
fa_0337|درحال غواصی هستیم
fa_0338|آخرین قطار با استانبول چه موقع است؟
